Name,Attribute,Type,Level,Attack,Defense,Description,Property,Status,Limitation text
Disciple of the Forbidden Spell,LIGHT,Warrior / Effect,4,1700,800,"When this card is Summoned, declare different Monster Card Attributes equal to the number of ""Disciple of the Forbidden Spell""(s) in your Graveyard. If this card attacks a monster that has a declared Attribute, destroy the monster with this card's effect without applying damage calculation.",,,
Disk Magician,DARK,Machine,4,1350,1000,This monster hides in a saucer and only appears when executing an attack.,,,
Diskblade Rider,WIND,Fiend / Effect,4,1700,1500,"Once per turn: You can target 1 Normal Trap Card in your Graveyard; banish that target, and if you do, this card gains 500 ATK until the end of your opponent's turn.",,,
Dissolverock,EARTH,Rock,3,900,1000,"A monster born in the lava pits, it generates intense heat that can melt away its enemies.",,,
Disturbance Strategy,,Trap,,,,"Your opponent shuffles their entire hand into the Deck, then draws the same number of cards.",Normal,,
Divine Dragon - Excelion,LIGHT,Dragon / Effect,5,1500,900,"When this card is Normal Summoned, it gets 1 of the following effects for each ""Divine Dragon - Excelion"" in your Graveyard when this effect resolves (your choice). These effects cannot accumulate. ● This card gains 1000 ATK. ● If this card destroys an opponent's monster by battle, it can attack once again in a row. ● When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the ATK of the destroyed monster.",,,
Divine Dragon Ragnarok,LIGHT,Dragon,4,1500,1000,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.",,,
Divine Knight Ishzark,LIGHT,Warrior / Effect,6,2300,1800,"After damage calculation, when this card destroys a monster by battle: Banish that monster.",,,
Divine Sword - Phoenix Blade,,Magic,,,,"Equip only to a Warrior monster. It gains 300 ATK. During your Main Phase, if this card is in your GY: You can banish 2 Warrior monsters from your GY; add this card to your hand.",Equip,,
Divine Wrath,,Trap,,,,"When a monster effect is activated: Discard 1 card; negate the activation, and if you do, destroy that monster.",Counter,,
Djinn the Watcher of the Wind,WIND,Spellcaster,3,700,900,''This creature generates gale-force winds and tornadoes to blow its enemies away.'',,,
DNA Surgery,,Trap,,,,Activate this card by declaring 1 Monster Type. All face-up monsters on the field become that Type.,Continuous,,
DNA Transplant,,Trap,,,,Activate by declaring 1 monster Attribute. All face-up monsters become that Attribute.,Continuous,,
Doitsu,EARTH,Fairy / Union / Effect,4,100,200,"Once per turn, you can equip this card to a ""Soitsu"" you control, OR unequip it to Special Summon this card in face-up Attack Position. When equipped to a monster by this card's effect, that monster gains 2500 ATK. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed by battle, destroy this card instead.)",,,
Dokuroizo the Grim Reaper,DARK,Zombie,3,900,1200,''A messenger of doom that steals a soul with a single blow.'',,,
Dokurorider,DARK,Zombie / Ritual,6,1900,1850,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Revival of Dokurorider"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.",,,
Dokuroyaiba,FIRE,Fiend,3,1000,400,A boomerang with brains that will pursue a target to the ends of the earth.,,,
Doma The Angel of Silence,DARK,Fairy,5,1600,1400,This fairy rules over the end of existence.,,,
Don Turtle,WATER,Reptile / Effect,3,1100,1200,"When this card is Normal Summoned or Flip Summoned, you can Special Summon any number of ""Don Turtle""(s) from your hand.",,,
Don Zaloog,DARK,Warrior / Effect,4,1400,1500,"When this card inflicts battle damage to your opponent: You can activate 1 of these effects;
● Discard 1 random card from their hand.
● Send the top 2 cards of their Deck to the GY.",,,
Doom Dozer,EARTH,Insect / Effect,8,2800,2600,"Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) by banishing 2 Insect-Type monsters from your Graveyard, and cannot be Special Summoned by other ways. When this card inflicts Battle Damage to your opponent: Send the top card of their Deck to the Graveyard.",,,
Doom Shaman,DARK,Spellcaster / Gemini / Effect,6,2400,2000,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.
● Once per turn: You can Special Summon 1 Fiend-Type monster from your hand or from either Graveyard. When this card leaves the field, destroy all Fiend-Type monsters Special Summoned by this effect.",,,
Doomcaliber Knight,DARK,Fiend / Effect,4,1900,1800,"Cannot be Special Summoned. If a monster effect is activated (Quick Effect): Tribute this face-up card; negate the activation, and if you do, destroy that monster.",,,
Doomsday Horror,DARK,Fiend / Effect,4,,,This card's ATK and DEF are equal to the number of banished DARK monsters x 300. If this card is destroyed and sent to the Graveyard: Return all banished DARK monsters to the Graveyards.,,,
Dora of Fate,,Trap,,,,"You can only activate this card during your opponent's turn. Select 1 face-up monster on your opponent's side of the field. When you Normal Summon a monster that is 1 Level lower than the selected monster during your next turn, inflict damage to your opponent's Life Points equal to the Level of the selected monster x 500 points.",Normal,,
Doriado,EARTH,Spellcaster,4,1200,1400,''A spirit of the forest powered by the surrounding trees and wildlife.'',,,
Doriado's Blessing,,Magic,,,,"This card is used to Ritual Summon ""Elemental Mistress Doriado"". You must also Tribute monsters whose total Levels equal 3 or more from the field or your hand.",Ritual,,
Doron,EARTH,Warrior,2,900,500,''This monster splits in two and attacks from opposite sides.'',,,
Dorover,WATER,Aqua,3,900,800,''This ugly monster emits a highly poisonous gas.'',,,
Double Attack,,Magic,,,,Discard 1 Monster Card from your hand to the Graveyard. Select 1 monster on your side of the field with a lower Level than the discarded monster. The selected monster can attack twice this turn.,Normal,,
Double Coston,DARK,Zombie / Effect,4,1700,1650,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,,,
Double Snare,,Magic,,,,Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.,Normal,,
Double Spell,,Magic,,,,"Discard 1 Spell Card, then target 1 Spell Card in your opponent's Graveyard; place that target in the appropriate Zone on your side of the field, and as this card's effect resolution, follow its card text as if you had used it yourself.",Normal,,
Double Summon,,Magic,,,,"You can conduct 2 Normal Summons/Sets this turn, not just 1.",Normal,,
Double Tag Team,,Trap,,,,"Activate only when you Special Summon a ""Gladiator Beast"" monster. Special Summon 1 Level 4 or lower ""Gladiator Beast"" monster from your hand or Deck.",Normal,,
Double-Edged Sword Technique,,Trap,,,,"Target 2 ""Six Samurai"" monsters in your GY; Special Summon those targets in Attack Position. During the End Phase of this turn, destroy them, and if you do, take damage equal to those destroyed monsters' ATK.",Normal,,
Dragged Down into the Grave,,Magic,,,,"Both players reveal their hands, each chooses 1 card from their opponent's hand, then you discard the chosen cards from both players' hands, then both players draw 1 card.",Normal,,
Dragon Capture Jar,,Trap,,,,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.",Continuous,,
Dragon Manipulator,EARTH,Warrior / Flip / Effect,3,700,800,FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the end of the End Phase.,,,
Dragon Master Knight,LIGHT,Dragon / Fusion / Effect,12,5000,5000,"""Black Luster Soldier"" + ""Blue-Eyes Ultimate Dragon""
Must be Fusion Summoned. This card gains 500 ATK for each Dragon monster you control, except this card.",,,
Dragon Piper,FIRE,Pyro / Flip / Effect,3,200,1800,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.",,,
Dragon Seeker,DARK,Fiend / Effect,6,2000,2100,"When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field.",,,
Dragon Statue,EARTH,Warrior,3,1100,900,''A stone warrior with the heart of a dragon.'',,,
Dragon Treasure,,Magic,,,,A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.,Equip,,
Dragon Zombie,DARK,Zombie,3,1600,0,A dragon revived by sorcery. Its breath is highly corrosive.,,,
Dragon's Gunfire,,Magic,,,,"If you control a Dragon monster: Activate 1 of these effects;
● Inflict 800 damage to your opponent.
● Target 1 monster with 800 or less DEF; destroy that target.",Normal,,
Dragon's Mirror,,Magic,,,,"Fusion Summon 1 Dragon Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your field or GY.",Normal,,
Dragon's Rage,,Trap,,,,Dragon-Type monsters you control inflict piercing Battle Damage when they attack a Defense Position monster.,Continuous,,
Dragoness the Wicked Knight,WIND,Warrior / Fusion,3,1200,900,"""Armaill"" + ""One-Eyed Shield Dragon""",,,
Dragonic Attack,,Magic,,,,This card can only be used to equip Warrior-Type monsters. The equipped monster is treated as Dragon-Type and increases the ATK and DEF of the equipped monster by 500 points.,Equip,,
Dragonic Knight,FIRE,Dragon / Effect,7,2800,2300,"When the effect of an opponent's monster is activated that targets and destroys a card(s) you control, you can send the targeted card(s) to the Graveyard to Special Summon this card from your hand.",,,
Draining Shield,,Trap,,,,"When an opponent's monster declares an attack: Target the attacking monster; negate that attack, and if you do, gain LP equal to that target's ATK.",Normal,,
Dramatic Rescue,,Trap,,,,"Activate only when a card is activated that targets an ""Amazoness"" monster. Return the targeted monster to its owner's hand and Special Summon 1 other monster from your hand.",Normal,,
Drastic Drop Off,,Trap,,,,"When your opponent adds a card(s) from their Deck to their hand, including drawing: They must discard 1 of those cards.",Counter,,
Dreadscythe Harvester,WIND,Insect / Effect,8,2300,1600,You can Tribute 1 Insect-Type monster to have this card gain 500 ATK until the end of the turn.,,,
Dream Clown,EARTH,Warrior / Effect,3,1200,900,"When this card is changed from Attack Position to face-up Defense Position, select 1 monster your opponent controls and destroy it.",,,
Dreamsprite,LIGHT,Plant / Effect,2,300,200,"When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.",,,
Drill Bug,EARTH,Insect / Effect,2,1100,200,"When this card inflicts Battle Damage to your opponent's Life Points, you can select 1 ""Parasite Paracide"" card from your Deck, shuffle the Deck, and place ""Parasite Paracide"" on top of the Deck.",,,
Drillago,DARK,Machine / Effect,4,1600,1100,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.",,,
Drillroid,EARTH,Machine / Effect,4,1600,1600,"Before damage calculation, if this card attacks a Defense Position monster: Destroy that monster.",,,
Driving Snow,,Trap,,,,You can only activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.,Normal,,
Droll Bird,WIND,Winged Beast,2,600,500,This monster stuns its enemies with a massive beak and ear-piercing wails.,,,
Drooling Lizard,EARTH,Reptile,3,900,800,A blood-sucking snake in human form that attacks any living being that passes nearby.,,,
Drop Off,,Trap,,,,When your opponent draws for their normal draw in their Draw Phase: Your opponent discards 1 card they just drew.,Normal,,
DUCKER Mobile Cannon,LIGHT,Machine / Flip / Effect,3,500,500,FLIP: Target 1 Level 4 monster in your Graveyard; add that target to your hand.,,,
Dummy Golem,EARTH,Rock / Flip / Effect,2,800,800,FLIP: Your opponent selects 1 monster they control. Switch control of the selected monster and this card.,,,
Dunames Dark Witch,LIGHT,Fairy,4,1800,1050,"Even when all odds are against this brave fairy, she will press onwards in battle and never retreat.",,,
Dungeon Worm,EARTH,Insect,5,1800,1500,"Hidden under the floors of a labyrinth, it swallows any who pass above.",,,
Dust Barrier,,Magic,,,,Face-up Normal Monsters on the field are unaffected by your opponent's Spell Cards. This card is destroyed during your second Standby Phase after activation.,Continuous,,
Dust Tornado,,Trap,,,,"Target 1 Spell/Trap your opponent controls; destroy that target, then you can Set 1 Spell/Trap from your hand.",Normal,,
Dweller in the Depths,EARTH,Dragon / Effect,3,1500,700,Gains 300 ATK for each Continuous Spell in your Spell & Trap Zone.,,,
E - Emergency Call,,Magic,,,,"Add 1 ""Elemental HERO"" monster from your Deck to your hand.",Normal,,
Eagle Eye,WIND,Winged Beast / Effect,3,1300,1200,"When this card is Normal Summoned successfully, no Trap Cards can be activated.",,,
Earth Chant,,Magic,,,,This card can be used to Ritual Summon any EARTH Ritual Monster. You must also Tribute monsters from your hand or field whose total Levels exactly equal the Level of the Ritual Monster you Ritual Summon.,Ritual,,
Earth Effigy,EARTH,Rock / Effect,4,100,2000,This card can be treated as 2 Tributes for the Tribute Summon of an EARTH Normal Monster.,,,
Earthbound Spirit,EARTH,Fiend,4,500,2000,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.",,,
Earthquake,,Magic,,,,Change all face-up monsters on the field to Defense Position.,Normal,,
Earthshaker,,Trap,,,,Select 2 Monster Card Attributes. Your opponent then selects 1 of the 2 Attributes and destroys all face-up monsters with that Attribute on the field.,Normal,,
Eatgaboon,,Trap,,,,"If the ATK of a monster summoned by your opponent (excluding Special Summon) is 500 points or less, the monster is destroyed.",Normal,,
Ebon Magician Curran,DARK,Spellcaster / Effect,2,1200,0,"During your Standby Phase, inflict 300 damage to your opponent for each monster they control.",,,
Ectoplasmer,,Magic,,,,"Once per turn, during each player's End Phase: The turn player must Tribute 1 face-up monster, and if they do, inflict damage to their opponent equal to half the original ATK of the Tributed monster.",Continuous,,
Edge Hammer,,Trap,,,,"Tribute 1 ""Elemental HERO Bladedge"" to target 1 monster your opponent controls; destroy that target and inflict damage to your opponent equal to that target's original ATK.",Normal,,
Ekibyo Drakmord,,Magic,,,,"The equipped monster cannot attack. Destroy the equipped monster at the end of its controller's 2nd turn after this card is activated. At that time, this card is returned to the owner's hand.",Equip,,
Eldeen,LIGHT,Spellcaster,3,950,1000,''The cane of this monster is the source of many powerful spells.'',,,
Electric Lizard,EARTH,Thunder / Effect,3,850,800,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",,,
Electric Snake,LIGHT,Thunder / Effect,3,800,900,"When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.",,,
Electric Virus,LIGHT,Thunder / Effect,3,1000,1000,"You can discard this card to the Graveyard, then target 1 Machine or Dragon-Type monster your opponent controls; take control of that target until the End Phase.",,,
Electro-Whip,,Magic,,,,Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.,Equip,,
Electromagnetic Bagworm,LIGHT,Insect / Flip / Effect,3,200,1400,"FLIP: Target 1 Machine-Type monster your opponent controls; take control of that target until your next End Phase.
If this card is destroyed by battle: The monster that destroyed it loses 500 ATK and DEF.",,,
Elegant Egotist,,Magic,,,,"If ""Harpie Lady"" is on the field: Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or Deck.",Normal,,
Element Doom,DARK,Fiend / Effect,4,1500,1200,"This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● EARTH: Negate the effect of an Effect Monster that this card destroyed by battle. ● WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.",,,
Element Dragon,LIGHT,Dragon / Effect,4,1500,1200,"This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● FIRE: This card gains 500 ATK. ● WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.",,,
Element Magician,LIGHT,Spellcaster / Effect,4,1500,1200,"This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● WATER: Control of this card cannot switch. ● WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.",,,
Element Saurus,DARK,Dinosaur / Effect,4,1500,1200,"Gains the following effect(s) while there is a monster(s) with the following Attribute(s) on the field.
● FIRE: This card gains 500 ATK.
● EARTH: Negate the effects of Effect Monsters destroyed by battle with this card.",,,
Element Soldier,DARK,Fiend / Effect,4,1500,1200,This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● WATER: Control of this card cannot switch. ● EARTH: Negate the effect of an Effect Monster that this card destroyed by battle.,,,
Element Valkyrie,LIGHT,Fairy / Effect,4,1500,1200,"(This card is not treated as a ""Valkyrie"" card.)
This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field:
● FIRE: This card gains 500 ATK.
● WATER: Control of this card cannot switch.",,,
Elemental Absorber,,Trap,,,,Remove from play 1 Monster Card in your hand to activate this card. Your opponent's monsters that have the same Attribute as the monster removed by this effect cannot declare an attack.,Continuous,,
Elemental Burst,,Trap,,,,"Tribute 1 each of WIND, WATER, FIRE, and EARTH monsters to activate this card. Destroy all cards on your opponent's side of the field.",Normal,,
Elemental HERO Air Neos,WIND,Warrior / Fusion / Effect,7,2500,2000,"""Elemental Hero Neos"" + ""Neo-Spacian Air Hummingbird""
This card can only be Special Summoned from your Extra Deck by returning the above cards you control to the Deck. (You do not use ""Polymerization"".) While your Life Points are lower than your opponent's, this card gains ATK equal to the difference. This card returns to the Extra Deck during the End Phase.",,,
Elemental HERO Aqua Neos,WATER,Warrior / Fusion / Effect,7,2500,2000,"""Elemental HERO Neos"" + ""Neo-Spacian Aqua Dolphin""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn: You can discard 1 card; destroy 1 random card in your opponent's hand. During the End Phase: Shuffle this card into the Extra Deck.",,,
Elemental HERO Avian,WIND,Warrior,3,1000,1000,"A winged Elemental HERO who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.",,,
Elemental HERO Bladedge,EARTH,Warrior / Effect,7,2600,1800,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.",,,
Elemental HERO Bubbleman,WATER,Warrior / Effect,4,800,1200,"If this is the only card in your hand, you can Special Summon it (from your hand). When this card is Summoned: You can draw 2 cards. You must control no other cards and have no cards in your hand to activate and to resolve this effect.",,,
Elemental HERO Burstinatrix,FIRE,Warrior,3,1200,800,A flame manipulator who was the first Elemental HERO woman. Her Burstfire burns away villainy.,,,
Elemental HERO Captain Gold,LIGHT,Warrior / Effect,4,2100,800,"You can discard this card to the Graveyard; add 1 ""Skyscraper"" from your Deck to your hand. If ""Skyscraper"" is not face-up on the field, destroy this card.",,,
Elemental HERO Chaos Neos,DARK,Warrior / Fusion / Effect,9,3000,2500,"""Elemental HERO Neos"" + ""Neo-Spacian Dark Panther"" + ""Neo-Spacian Glow Moss""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn, during the End Phase: Shuffle this card into the Extra Deck, and if you do, Set all face-up monsters on the field. Once per turn, during your Main Phase 1: You can toss a coin 3 times.
● 3 Heads: Destroy all monsters your opponent controls.
● 2 Heads: For the rest of this turn, the effects of all face-up monsters your opponent controls are negated.
● 1 Head: Return all monsters you control to the hand.",,,
Elemental HERO Clayman,EARTH,Warrior,4,800,2000,An Elemental HERO with a clay body built-to-last. He'll preserve his Elemental HERO colleagues at any cost.,,,
Elemental HERO Dark Neos,DARK,Warrior / Fusion / Effect,7,2500,2000,"""Elemental HERO Neos"" + ""Neo-Spacian Dark Panther""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) If this card is not already targeting a monster with its effect: You can target 1 face-up Effect Monster on the field; while you control this face-up card, that target's effect on the field is negated. During the End Phase: Shuffle this card into the Extra Deck.",,,
Elemental HERO Darkbright,DARK,Warrior / Fusion / Effect,6,2000,1000,"""Elemental HERO Sparkman"" + ""Elemental HERO Necroshade""
Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, change it to Defense Position at the end of the Damage Step. If this card is destroyed: Target 1 monster your opponent controls; destroy that target.",,,
Elemental HERO Electrum,LIGHT,Warrior / Fusion / Effect,10,2900,2600,"""Elemental HERO Avian"" + ""Elemental HERO Burstinatrix"" + ""Elemental HERO Clayman"" + ""Elemental HERO Bubbleman""
Must be Fusion Summoned and cannot be Special Summoned by other ways. While face-up on the field, this card is also WIND, WATER, FIRE, and EARTH-Attribute. When this card is Fusion Summoned: Shuffle all banished cards into the Deck(s). This card gains 300 ATK for each monster your opponent controls that shares an Attribute with this card.",,,
Elemental HERO Flame Wingman,WIND,Warrior / Fusion / Effect,6,2100,1200,"""Elemental HERO Avian"" + ""Elemental HERO Burstinatrix""
Must be Fusion Summoned and cannot be Special Summoned by other ways. When this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to the ATK of the destroyed monster in the Graveyard.",,,
Elemental HERO Flare Neos,FIRE,Warrior / Fusion / Effect,7,2500,2000,"""Elemental HERO Neos"" + ""Neo-Spacian Flare Scarab""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) This card gains 400 ATK for each Spell/Trap Card on the field. During the End Phase: Shuffle this card into the Extra Deck.",,,
Elemental HERO Glow Neos,LIGHT,Warrior / Fusion / Effect,7,2500,2000,"""Elemental HERO Neos"" + ""Neo-Spacian Glow Moss""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) During the End Phase: Shuffle this card into the Extra Deck. Once per turn, during your Main Phase 1: You can target 1 face-up card your opponent controls; destroy that target, then apply the effect based on its type. ● Monster: This card cannot attack this turn. ● Spell: This card can attack your opponent directly this turn. ● Trap: Change this card to Defense Position.",,,
Elemental HERO Grand Neos,EARTH,Warrior / Fusion / Effect,7,2500,2000,"""Elemental HERO Neos"" + ""Neo-Spacian Grand Mole""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn: You can target 1 monster your opponent controls; return that target to the hand. During the End Phase: Shuffle this card into the Extra Deck.",,,
Elemental HERO Heat,FIRE,Pyro / Effect,4,1600,1200,"This card gains 200 ATK for each ""Elemental HERO"" monster you control.",,,
Elemental HERO Inferno,FIRE,Pyro / Fusion / Effect,8,2300,1600,"""Elemental HERO Heat"" + ""Elemental HERO Lady Heat""
Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card battles a WATER monster, this card gains 1000 ATK during the Damage Step only.",,,
Elemental HERO Knospe,EARTH,Plant / Effect,3,600,1000,"Each time this card inflicts Battle Damage to your opponent: It gains 100 ATK and loses 100 DEF. While you control another face-up ""Elemental HERO"" monster, your opponent cannot target this card for an attack, and this card can attack your opponent directly.",,,
Elemental HERO Lady Heat,FIRE,Pyro / Effect,4,1300,1000,"During each of your End Phases: Inflict 200 damage to your opponent for each face-up ""Elemental HERO"" monster you control.",,,
Elemental HERO Magma Neos,FIRE,Warrior / Fusion / Effect,9,3000,2500,"""Elemental HERO Neos"" + ""Neo-Spacian Flare Scarab"" + ""Neo-Spacian Grand Mole""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) This card gains 400 ATK for each card on the field. Once per turn, during the End Phase: Shuffle this card into the Extra Deck. If this card is shuffled into the Extra Deck this way: Return all cards on the field to the hand.",,,
Elemental HERO Marine Neos,WATER,Warrior / Fusion / Effect,8,2800,2300,"""Elemental HERO Neos"" + ""Neo-Spacian Marine Dolphin""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn: You can destroy 1 random card in your opponent's hand.",,,
Elemental HERO Mariner,WATER,Warrior / Fusion / Effect,5,1400,1000,"""Elemental HERO Bubbleman"" + ""Elemental HERO Avian""
Must be Fusion Summoned and cannot be Special Summoned by other ways. While you have any face-down card(s) in your Spell & Trap Card Zones, this card can attack your opponent directly.",,,
Elemental HERO Mudballman,EARTH,Warrior / Fusion / Effect,6,1900,3000,"""Elemental HERO Bubbleman"" + ""Elemental HERO Clayman""
Must be Fusion Summoned and cannot be Special Summoned by other ways.",,,
Elemental HERO Necroid Shaman,DARK,Warrior / Fusion / Effect,6,1900,1800,"""Elemental HERO Wildheart"" + ""Elemental HERO Necroshade""
Must be Fusion Summoned and cannot be Special Summoned by other ways. When this card is Special Summoned: Target 1 monster your opponent controls; destroy that target, then Special Summon 1 monster from your opponent's Graveyard to their side of the field.",,,
Elemental HERO Necroshade,DARK,Warrior / Effect,5,1600,1800,"Once, while this card is in the Graveyard, 1 Level 5 or higher ""Elemental HERO"" monster you Normal Summon can be Summoned without Tributing.",,,
Elemental HERO Neo Bubbleman,WATER,Warrior / Effect,4,800,1200,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending an ""Elemental Hero Bubbleman"" you control and ""Metamorphosis"" in your hand to the Graveyard. This card's name is treated as ""Elemental Hero Bubbleman"" while it is face-up on the field. Destroy an opponent's monster that battles this card at the end of the Damage Step.",,,
Elemental HERO Neos,LIGHT,Warrior,7,2500,2000,''A new Elemental HERO has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian his unknown powers are unleashed.'',,,
Elemental HERO Neos Alius,LIGHT,Warrior / Gemini / Effect,4,1900,1300,"This card is treated as a Normal Monster while face-up on the field or in the GY. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.
● This card's name becomes ""Elemental HERO Neos"" while on the field.",,,
Elemental HERO Ocean,WATER,Warrior / Effect,4,1500,1200,"Once per turn, during your Standby Phase: You can target 1 ""HERO"" monster you control or in your Graveyard; return that target to the hand.",,,
Elemental HERO Phoenix Enforcer,FIRE,Warrior / Fusion / Effect,6,2100,1200,"""Elemental HERO Avian"" + ""Elemental HERO Burstinatrix""
Must be Fusion Summoned and cannot be Special Summoned by other ways. This card cannot be destroyed by battle.",,,
Elemental HERO Plasma Vice,EARTH,Warrior / Fusion / Effect,8,2600,2300,"""Elemental HERO Sparkman"" + ""Elemental HERO Bladedge""
Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. You can discard 1 card to target 1 Attack Position monster your opponent controls; destroy that target.",,,
Elemental HERO Poison Rose,EARTH,Plant / Effect,6,1900,2000,"Cannot be Normal Summoned or Set. Must be Special Summoned with ""Rose Bud"" and cannot be Special Summoned by other ways. Each time this card inflicts Battle Damage to your opponent: It gains 200 ATK and loses 200 DEF. Your opponent can only target ""Elemental HERO Poison Rose"" for attacks.",,,
Elemental HERO Prisma,LIGHT,Warrior / Effect,4,1700,1100,"Once per turn: You can reveal 1 Fusion Monster from your Extra Deck, then send 1 of the Fusion Materials whose name is specifically listed on that card from your Deck to the Graveyard; this card's name becomes the sent monster's until the End Phase.",,,
Elemental HERO Rampart Blaster,EARTH,Warrior / Fusion / Effect,6,2000,2500,"""Elemental HERO Clayman"" + ""Elemental HERO Burstinatrix""
Must be Fusion Summoned and cannot be Special Summoned by other ways. This card can attack while in face-up Defense Position, but only if your opponent controls no monsters, and if it does, this card's ATK is halved during damage calculation only.",,,
Elemental HERO Shining Flare Wingman,LIGHT,Warrior / Fusion / Effect,8,2500,2100,"""Elemental HERO Flame Wingman"" + ""Elemental HERO Sparkman""
Must be Fusion Summoned and cannot be Special Summoned by other ways. This card gains 300 ATK for each ""Elemental HERO"" card in your Graveyard. When this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to the ATK of the destroyed monster in the Graveyard.",,,
Elemental HERO Shining Phoenix Enforcer,FIRE,Warrior / Fusion / Effect,8,2500,2100,"""Elemental HERO Phoenix Enforcer"" + ""Elemental HERO Sparkman""
Must be Fusion Summoned and cannot be Special Summoned by other ways. This card gains 300 ATK for each ""Elemental HERO"" card in your Graveyard. This card cannot be destroyed by battle.",,,
Elemental HERO Sparkman,LIGHT,Warrior,4,1600,1400,''An Elemental HERO and a warrior of light who proficiently wields many kinds of armaments. His Static Shockwave cuts off the path of villainy.'',,,
Elemental HERO Steam Healer,WATER,Warrior / Fusion / Effect,5,1800,1000,"""Elemental HERO Burstinatrix"" + ""Elemental HERO Bubbleman""
Must be Fusion Summoned and cannot be Special Summoned by other ways. When this card destroys a monster by battle and sends it to the Graveyard: Gain Life Points equal to the ATK of that destroyed monster in the Graveyard.",,,
